"","spid","chid","stkc","stkc_unit","tested_conc_unit"
"300","EPAPLT0201B05",25291,20.8827991485596,"mM","uM"
"301","EPAPLT0201B06",26298,19.9997005462646,"mM","uM"
"302","EPAPLT0201B07",23873,20,"mM","uM"
"303","EPAPLT0201C01",21764,20.0104007720947,"mM","uM"
"304","EPAPLT0201C02",44934,20,"mM","uM"
"305","EPAPLT0201C03",47065,20,"mM","uM"
"306","EPAPLT0201C04",21853,20.2779006958008,"mM","uM"
"307","EPAPLT0201C05",20292,20,"mM","uM"
"308","EPAPLT0201C06",20828,20.0097007751465,"mM","uM"
"309","EPAPLT0201C07",21272,19.9997005462646,"mM","uM"
"310","EPAPLT0201D01",44354,20,"mM","uM"
"311","EPAPLT0201D02",21957,19.9997005462646,"mM","uM"
"312","EPAPLT0201D03",21648,19.9918994903564,"mM","uM"
"313","EPAPLT0201D04",20464,20,"mM","uM"
"314","EPAPLT0201D05",21597,20.0062999725342,"mM","uM"
"315","EPAPLT0201D06",47064,20.0002994537354,"mM","uM"
"316","EPAPLT0201E01",24739,20.0002002716064,"mM","uM"
"317","EPAPLT0201E02",23471,20.0004997253418,"mM","uM"
"318","EPAPLT0201E03",47760,20,"mM","uM"
"319","EPAPLT0201E04",21959,20,"mM","uM"
"320","EPAPLT0201E05",34229,20,"mM","uM"
"321","EPAPLT0201E06",44830,20.0002994537354,"mM","uM"
"322","EPAPLT0201F01",25050,19.9916000366211,"mM","uM"
"323","EPAPLT0201F02",29154,20.012300491333,"mM","uM"
"324","EPAPLT0201F03",44900,20,"mM","uM"
"325","EPAPLT0201F04",44536,19.9997005462646,"mM","uM"
"326","EPAPLT0201F05",21520,20.0081996917725,"mM","uM"
"327","EPAPLT0201F06",21197,20.0002002716064,"mM","uM"
"328","EPAPLT0201G01",20215,19.9997005462646,"mM","uM"
"329","EPAPLT0201G02",41491,20.0065994262695,"mM","uM"
"330","EPAPLT0201G03",21726,20,"mM","uM"
"331","EPAPLT0201G04",25502,20,"mM","uM"
"332","EPAPLT0201G05",25080,20.0002002716064,"mM","uM"
"333","EPAPLT0201G06",44699,20.0002994537354,"mM","uM"
"334","EPAPLT0201H01",21640,20,"mM","uM"
"335","EPAPLT0201H02",27049,20,"mM","uM"
"336","EPAPLT0201H03",24586,20,"mM","uM"
"337","EPAPLT0201H04",26946,20,"mM","uM"
"338","EPAPLT0201H05",20047,20.6000003814697,"mM","uM"
"339","EPAPLT0201H06",20877,20,"mM","uM"
